-3.03387	-3.03879	-2.05533
-3.03776	-3.03882	-2.05536
-3.04165	-3.03886	-2.05538
-3.04554	-3.0389	-2.05541
-3.04943	-3.03894	-2.05543
-3.05332	-3.03897	-2.05546
-3.05721	-3.03901	-2.05548
-3.0611	-3.03905	-2.05551
-3.06499	-3.03908	-2.05553
-3.06888	-3.03912	-2.05556
-3.07277	-3.03916	-2.05558
-3.07666	-3.03919	-2.05561
-3.08055	-3.03923	-2.05563
-3.08444	-3.03927	-2.05566
-3.08833	-3.03931	-2.05568
-3.09222	-3.03934	-2.05571
-3.09612	-3.03938	-2.05573
-3.10001	-3.03942	-2.05576
-3.1039	-3.03945	-2.05578
-3.10779	-3.03949	-2.05581
-3.11168	-3.03953	-2.05583
-3.11557	-3.03956	-2.05586
-3.11947	-3.0396	-2.05588
-3.12336	-3.03964	-2.05591
-3.12725	-3.03968	-2.05593
-3.13114	-3.03971	-2.05596
-3.13503	-3.03975	-2.05598
-3.13893	-3.03979	-2.05601
-3.14282	-3.03982	-2.05603
-3.14671	-3.03986	-2.05606
-3.1506	-3.0399	-2.05608
-3.1545	-3.03993	-2.05611
-3.15839	-3.03997	-2.05613
-3.16228	-3.04001	-2.05616
-3.16618	-3.04005	-2.05618
-3.17007	-3.04008	-2.05621
-3.17396	-3.04012	-2.05623
-3.17786	-3.04016	-2.05626
-3.18175	-3.04019	-2.05628
-3.18564	-3.04023	-2.05631
-3.18954	-3.04027	-2.05633
-3.19343	-3.0403	-2.05636
-3.19732	-3.04034	-2.05638
-3.20122	-3.04038	-2.05641
-3.20511	-3.04042	-2.05643
-3.20901	-3.04045	-2.05646
-3.2129	-3.04049	-2.05648
-3.21679	-3.04053	-2.05651
-3.22069	-3.04056	-2.05653
-3.22458	-3.0406	-2.05656
-3.22848	-3.04064	-2.05658
-3.23237	-3.04068	-2.05661
-3.23627	-3.04071	-2.05663
-3.24016	-3.04075	-2.05666
-3.24406	-3.04079	-2.05668
-3.24795	-3.04082	-2.05671
-3.25185	-3.04086	-2.05673
-3.25574	-3.0409	-2.05676
-3.25964	-3.04093	-2.05678
-3.26353	-3.04097	-2.05681
-3.26743	-3.04101	-2.05683
-3.27132	-3.04105	-2.05686
-3.27522	-3.04108	-2.05688
-3.27912	-3.04112	-2.05691
-3.28301	-3.04116	-2.05693
-3.28691	-3.04119	-2.05696
-3.2908	-3.04123	-2.05698
-3.2947	-3.04127	-2.05701
-3.2986	-3.0413	-2.05703
-3.30249	-3.04134	-2.05706
-3.30639	-3.04138	-2.05708
-3.31029	-3.04142	-2.05711
-3.31418	-3.04145	-2.05713
-3.31808	-3.04149	-2.05716
-3.32198	-3.04153	-2.05718
-3.32587	-3.04156	-2.05721
-3.32977	-3.0416	-2.05723
-3.33367	-3.04164	-2.05726
-3.33756	-3.04168	-2.05728
-3.34146	-3.04171	-2.05731
-3.34536	-3.04175	-2.05733
-3.34926	-3.04179	-2.05736
-3.35315	-3.04182	-2.05738
-3.35705	-3.04186	-2.05741
-3.36095	-3.0419	-2.05743
-3.36485	-3.04193	-2.05746
-3.36874	-3.04197	-2.05748
-3.37264	-3.04201	-2.05751
-3.37654	-3.04205	-2.05753
-3.38044	-3.04208	-2.05756
-3.38434	-3.04212	-2.05758
-3.38824	-3.04216	-2.05761
-3.39213	-3.04219	-2.05764
